GEOID,NAME,population,year,level
18,Indiana,6811752,2023,state
19,Iowa,3195937,2023,state
20,Kansas,2937569,2023,state
21,Kentucky,4510725,2023,state
22,Louisiana,4621025,2023,state
23,Maine,1377400,2023,state
24,Maryland,6170738,2023,state
25,Massachusetts,6992395,2023,state
26,Michigan,10051595,2023,state
27,Minnesota,5713716,2023,state
28,Mississippi,2951438,2023,state
29,Missouri,6168181,2023,state
30,Montana,1105072,2023,state
31,Nebraska,1965926,2023,state
32,Nevada,3141000,2023,state
33,New Hampshire,1387834,2023,state
34,New Jersey,9267014,2023,state
35,New Mexico,2114768,2023,state
36,New York,19872319,2023,state
37,North Carolina,10584340,2023,state
38,North Dakota,779361,2023,state
39,Ohio,11780046,2023,state
40,Oklahoma,3995260,2023,state
41,Oregon,4238714,2023,state
42,Pennsylvania,12986518,2023,state
44,Rhode Island,1095371,2023,state
45,South Carolina,5212774,2023,state
46,South Dakota,899194,2023,state
47,Tennessee,6986082,2023,state
48,Texas,29640343,2023,state
49,Utah,3331187,2023,state
50,Vermont,645254,2023,state
51,Virginia,8657499,2023,state
53,Washington,7740984,2023,state
54,West Virginia,1784462,2023,state
55,Wisconsin,5892023,2023,state
56,Wyoming,579761,2023,state
72,Puerto Rico,3254885,2023,state
01,Alabama,5086768,2024,state
02,Alaska,735706,2024,state
04,Arizona,7378838,2024,state
05,Arkansas,3049391,2024,state
06,California,39287377,2024,state
08,Colorado,5862189,2024,state
09,Connecticut,3624508,2024,state
10,Delaware,1021191,2024,state
11,District of Columbia,681294,2024,state
12,Florida,22416077,2024,state
13,Georgia,10940407,2024,state
15,Hawaii,1445235,2024,state
16,Idaho,1934262,2024,state
17,Illinois,12694798,2024,state
18,Indiana,6851073,2024,state
19,Iowa,3210507,2024,state
20,Kansas,2947197,2024,state
21,Kentucky,4534824,2024,state
22,Louisiana,4611961,2024,state
23,Maine,1387817,2024,state
24,Maryland,6206011,2024,state
25,Massachusetts,7044056,2024,state
26,Michigan,10077761,2024,state
27,Minnesota,5739445,2024,state
28,Mississippi,2946779,2024,state
29,Missouri,6191814,2024,state
30,Montana,1116875,2024,state
31,Nebraska,1978707,2024,state
32,Nevada,3184612,2024,state
33,New Hampshire,1394868,2024,state
34,New Jersey,9343809,2024,state
35,New Mexico,2120246,2024,state
36,New York,19852366,2024,state
37,North Carolina,10730404,2024,state
38,North Dakota,784841,2024,state
39,Ohio,11810293,2024,state
40,Oklahoma,4028634,2024,state
41,Oregon,4254293,2024,state
42,Pennsylvania,13018639,2024,state
44,Rhode Island,1101801,2024,state
45,South Carolina,5296225,2024,state
46,South Dakota,907428,2024,state
47,Tennessee,7066383,2024,state
48,Texas,30188424,2024,state
49,Utah,3392331,2024,state
50,Vermont,647106,2024,state
51,Virginia,8705170,2024,state
53,Washington,7816116,2024,state
54,West Virginia,1778373,2024,state
55,Wisconsin,5914872,2024,state
56,Wyoming,582397,2024,state
72,Puerto Rico,3234309,2024,state
